sigma1,sigma2,ratio,imagenes,imagenes_sin_detecciones,detecciones,area_media,area_std,coeficiente_variacion_area
2.0,3.0,1.5,9,4,10,911.25,907.5745492795619,0.9959665835715357
2.0,4.0,2.0,9,4,8,907.0625,857.3005758447558,0.9451394758847994
2.0,5.0,2.5,9,5,6,888.9166666666666,728.0497016382574,0.8190303196455506
2.0,6.0,3.0,9,5,8,639.75,692.3934936147219,1.082287602367678
2.0,7.0,3.5,9,5,8,600.3125,690.8875603842857,1.1508798507182272
2.0,8.0,4.0,9,4,8,823.125,777.2842847858176,0.9443089260875537
2.5,3.0,1.2,9,4,10,683.45,740.4085510716365,1.0833397484404659
2.5,4.0,1.6,9,4,10,755.6,793.3012605561647,1.0498957921600909
2.5,5.0,2.0,9,5,9,579.6666666666666,674.8582978835055,1.1642178801900613
2.5,6.0,2.4,9,5,9,584.9444444444445,627.7390843532776,1.0731601783986129
2.5,7.0,2.8,9,5,9,1054.7777777777778,1060.7559440509897,1.005667702144623
2.5,8.0,3.2,9,4,9,844.2222222222222,996.9137684516124,1.1808665327802728
3.0,4.0,1.3333333333333333,9,5,4,656.375,446.6832455722959,0.6805305588608583
3.0,5.0,1.6666666666666667,9,5,7,655.2857142857143,694.9305133373747,1.0605000203535258
3.0,6.0,2.0,9,5,9,576.6111111111111,593.7260300554727,1.0296819097214096
3.0,7.0,2.3333333333333335,9,5,9,773.6111111111111,931.8108349331238,1.2044951546711835
3.0,8.0,2.6666666666666665,9,5,12,731.625,895.214572160403,1.2235975700125106
3.5,4.0,1.1428571428571428,9,3,25,790.04,1040.0244220209447,1.3164199559781085
3.5,5.0,1.4285714285714286,9,5,6,670.0,459.88440576591273,0.6863946354715116
3.5,6.0,1.7142857142857142,9,4,12,674.0416666666666,890.3911700841878,1.3209734859380917
3.5,7.0,2.0,9,4,11,635.6818181818181,834.7477646442143,1.3131534374095613
3.5,8.0,2.2857142857142856,9,5,12,614.5416666666666,876.0923766536013,1.4256028910222003
4.0,5.0,1.25,9,4,12,540.4166666666666,569.083577390488,1.0530459412005948
4.0,6.0,1.5,9,4,10,753.15,889.2507253300387,1.1807086574122534
4.0,7.0,1.75,9,5,12,645.0,778.2838760161145,1.206641668242038
4.0,8.0,2.0,9,4,14,509.10714285714283,718.470999975728,1.4112373201908373
